Gene_Symbol,GSM1289627,GSM1289628,GSM1289629,GSM1289630,GSM1289631,GSM1289632,GSM1289633,GSM1289634,GSM1289635,GSM1289636,GSM1289637,GSM1289638,GSM1289639,GSM1289640,GSM1289641
7A5,-0.6674405,-7.711734,2.269643,0.7274963,2.871849,2.691607,-3.063187,-2.324873,8.050809,3.37392,-1.221049,3.530626,1.42676,-1.674143,-0.01280847
A1BG,0.018594499999999847,2.636583,1.54491291,3.290218,3.5437545,4.4858484999999995,0.048993000000000064,1.7648643000000002,7.9436860000000005,4.4620925,1.635046,2.1530095,7.9199639,2.1471475,8.608127999999999
A1CF,-1.7603929666666664,-1.444649,1.1986491333333333,-1.1404903,-2.7072523333333334,1.6619408333333334,7.517868,2.7156814666666667,-0.34465653333333335,-1.0069036333333334,1.8480290666666666,-3.6876296666666666,0.6123850000000001,0.035558233333333224,-1.1557009666666667
A26A1,2.5420925,8.6412075,-0.93516095,-2.421552,5.970945,3.97274,0.03597949999999983,3.8796055000000003,3.7167005,6.341759499999999,1.705232,4.3647205,2.1183765,5.914466000000001,5.2306915
A26B1,-5.858763,8.214137,3.166325,-2.24366,-3.857441,5.852096,9.132303,-3.054482,0.7435799,-1.264384,-1.656663,-2.030003,-5.441224,-1.358985,2.683927
A26C1B,1.352218,0.8986577,-0.2661102,2.067921,4.648126,4.925025,5.927345,0.9198151,6.029552,7.724391,-2.097307,4.207991,0.2010478,5.32561,6.91712
A26C3,0.6809050000000001,3.4436933333333335,2.0333553733333334,9.854493333333332,-3.6009495,1.7334416666666668,2.1051032700000003,1.8950813333333334,5.238143333333333,3.667469,2.9842720000000003,3.5317266333333333,4.043765033333333,5.174415433333333,1.5243380999999998
A2BP1,2.67069685,3.347477,-2.1706340500000003,0.9764792250000001,4.28716255,0.6985952499999999,2.5509905,1.7725964250000001,-2.4358560249999996,-3.6105085,-2.468194125,-2.19082475,-4.329903,-4.2398223,-0.5472904999999999
A2M,27.39845,81.48177,170.7616,128.9288,248.3544,300.5526,755.5007,161.9122,76.80872,2.249305,131.1657,70.70097,117.9327,49.6092,180.3624
A2ML1,-2.615345,11.20338,4.226042,-3.421669,8.345075,15.60095,14.65761,14.00462,5.19747,26.75298,6.803667,1.377994,0.5606669,11.38715,21.17934
A3GALT2,-1.8623596999999998,-3.0465369,1.46637835,2.90754365,10.2353925,-1.1739255,-1.5566118050000002,1.1901665000000001,-0.8383674999999999,-0.24902049999999987,0.09020399999999995,-3.95093,-2.3573229,-0.39391699999999985,1.5715830000000002
A4GALT,216.0133,531.0181,150.2283,185.9387,154.6604,332.8916,288.9079,239.665,317.1546,360.2021,898.9005,150.6374,177.5268,314.3791,640.3178
A4GNT,4.279006,2.258045,-0.9284518,-2.251532,4.648478,9.459328,5.504083,0.4773038,2.056235,1.443029,-5.065332,-2.529425,2.062906,-6.230019,-1.892461
AAA1,1.5137486,-1.7789687600000001,1.074096024,-0.4477695999999998,1.2801144000000002,-1.0257163200000001,0.05027732399999998,9.678313200000002,1.8860197200000002,0.2945098200000002,1.82207916,0.17776618000000005,1.3371451999999997,-0.30411080000000007,1.0046713999999999
