"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"7A5",-1.15238426461204,0.863779943798493,-2.18330172450213,0.0495472292304569,1,-4.52503198999984
"A1BG",-1.04854255789162,1.69246871619602,-1.95949952981583,0.0736384824986594,1,-4.53938929430844
"A1CF",0.729055702288204,0.41122433025515,1.76547283182994,0.102830713747302,1,-4.55177477731027
"A26A1",-0.556046957496291,1.71955692631537,-0.859919617559215,0.406645204104812,1,-4.60216459073412
"A26B1",0.283206266183658,0.912707380816464,0.359044220015224,0.725785183137112,1,-4.61820354847401
"A26C1B",0.177881061526044,1.61154378629541,0.237277374167947,0.816434543781325,1,-4.6202160875441
"A26C3",0.351631956005849,1.53676021462103,0.62625932465136,0.54284622950489,1,-4.61109855381442
"A2BP1",-0.0333354301574703,0.463078376678348,-0.066511259023663,0.948063455828796,1,-4.62166840709767
"A2M",0.931795505001164,6.72678534515141,0.863920025379527,0.404529371170219,1,-4.60199197373361
"A2ML1",0.483179415070478,2.75130711679407,0.478875448538897,0.640614204863924,1,-4.61545886513816
"A3GALT2",0.042712373764889,0.488533434297939,0.0742239684392312,0.942052189215283,1,-4.62163789441433
"A4GALT",0.0145607100986213,8.05238950176438,0.03223491817392,0.97481339292926,1,-4.62176358639845
"A4GNT",0.0184639949160961,0.900604316874664,0.0300516846784488,0.976518676201102,1,-4.62176741153
"AAA1",0.145434020168923,0.390413535205808,0.283591238018368,0.781545466492515,1,-4.61954486779426
"AAAS",-0.17068124280582,3.63797351997625,-0.206897462434487,0.839550783756155,1,-4.62059268922178
"AACS",-0.219356896187048,6.82316147657684,-0.648322176494631,0.528958376543687,1,-4.61035700959751
"AACSL",0.841768481238759,0.607883784503062,1.07566808953458,0.303177288628584,1,-4.59202936907584
"AADAC",-0.225113038613771,6.43199264821978,-0.56646778090765,0.581490932616282,1,-4.61299387771551
"AADACL1",-0.355146306603034,6.07112311022209,-1.43566141254852,0.176588495114755,1,-4.57209982797271
"AADACL2",1.3373715499586,3.00158659210456,2.60148265680761,0.0231237203104693,1,-4.49879265867015
"AADACL3",0.171549721240512,1.81516639283396,0.207693825467597,0.838942723251975,1,-4.62058346490708
"AADACL4",-0.461318802057048,0.846449991220704,-0.56193467710676,0.584479232854835,1,-4.61313064273998
"AADAT",-0.553362250189479,3.35324093599243,-1.34945125400377,0.202042399117808,1,-4.57714483483595
"AAK1",-0.270495889095135,1.7055698417724,-0.406857452043893,0.691258669624707,1,-4.61719743070074
"AAMP",0.150887374692405,6.55958427872858,0.356988604898651,0.727284450100723,1,-4.6182441111179
"AANAT",0.212260832928143,0.110212355558844,0.761951973946597,0.460767569713513,1,-4.60619282018952
"AARS",-0.0974970794373778,10.1101725669681,-0.401193988225222,0.695312552913399,1,-4.61732284154182
"AARS2",-1.11482663781897,4.71266474623121,-1.23940281902752,0.238832775039672,1,-4.58335735293463
"AARSD1",0.329076446306182,7.45242555648851,0.94174895148408,0.364850118830971,1,-4.59851342896248
"AASDH",-0.178480107425509,6.30071324439851,-0.549108401161767,0.592977986329238,1,-4.61351224513628
"AASDHPPT",-0.584851935442677,6.54170259914467,-1.30688144730581,0.215685024947558,1,-4.57958051361076
"AASS",-2.1210376774046,2.74609862565726,-5.70209082998935,9.78886815417068e-05,1,-4.36995976439101
"AATF",0.313096320048655,7.91890460235319,1.01600791954267,0.329625835206429,1,-4.5949917709145
"AATK",0.224686790699963,0.188328439224644,0.757259568788105,0.463470060674292,1,-4.60637587124303
"ABAT",-1.41527785175535,1.91536544294645,-1.52058690598076,0.154204698891922,1,-4.56700131862402
"ABCA1",0.0752720691656457,7.93509203849134,0.123430011272576,0.903804962319225,1,-4.62136473590308
"ABCA10",0.29954193374942,2.4966140703466,0.370385140886188,0.717535123379368,1,-4.61797575354481
"ABCA11",0.138484717039927,1.54591678789833,0.148556724102877,0.884364719598671,1,-4.62117304899773
"ABCA12",0.318489387662044,1.00238090312337,0.467365299330974,0.648591210597516,1,-4.61575446089028
"ABCA13",-1.01447238269301,10.5799357274384,-1.62560604188091,0.129928101123566,1,-4.56055160110981
"ABCA2",-0.725801825517453,3.55839759382768,-0.693446920476861,0.501199983985148,1,-4.60877142731937
"ABCA3",-1.21364222042477,2.87956787767508,-1.43532468164189,0.176682435935791,1,-4.57211980392976
"ABCA4",0.119277252696424,6.23700333336803,0.290329488734332,0.776508498776221,1,-4.6194375069624
"ABCA5",-0.283865205523942,4.29478493116916,-0.510209765610182,0.619136623230746,1,-4.61462051644351
"ABCA6",1.03485399642921,1.39646683166219,1.11808299651847,0.285363681545103,1,-4.5898558734477
"ABCA7",-0.19147934017254,6.06846667710228,-0.347705850394098,0.734069453125623,1,-4.61842449935376
"ABCA8",0.865064911868436,2.59775694018286,1.12507171050213,0.282506574685434,1,-4.58949260493046
"ABCA9",0.314665836098395,1.34173535024471,0.343240231384535,0.737341901963609,1,-4.61850965070152
"ABCB1",-0.20586553136187,2.5813021247493,-0.245536199538016,0.810180398663313,1,-4.62010495855657
"ABCB10",-0.261498448049785,7.18867459043453,-0.776820713476928,0.452270141085063,1,-4.60560668220826
"ABCB11",0.515596912495489,3.73373991969363,0.429904044824735,0.67486598416003,1,-4.61666996421683
"ABCB4",0.192682849916299,0.164078891953795,0.610928135680357,0.552616330475246,1,-4.61160057662825
"ABCB5",0.46566894697078,0.562799436625155,0.735736064430131,0.475993199082708,1,-4.60720352880137
"ABCB6",-0.0300602286034023,7.13720307885798,-0.0832010706629502,0.935060174758535,1,-4.62159817592086
"ABCB7",0.0166864297740992,6.2086983469007,0.036643560501287,0.971370289333071,1,-4.6217550450882
"ABCB8",-2.25589662478831,1.8088180719308,-3.40155465185935,0.00523753962612612,1,-4.45372126248451
"ABCB9",-0.0924003105148038,4.83013612179671,-0.271945492704659,0.790275191583728,1,-4.61972462571874
"ABCC1",-0.174983024308059,3.01998924885191,-0.26965684786235,0.791994316037461,1,-4.61975908739033
"ABCC10",-1.13841481722342,4.92609457647059,-1.33775863774904,0.205717196992929,1,-4.5778177091316
"ABCC11",-0.214580813367728,1.44715782952559,-0.280051353269768,0.784195763789406,1,-4.61960028498726
"ABCC12",1.16628361893461,2.3615334354917,1.81201386379648,0.0950045524059121,1,-4.54882000179751
"ABCC13",0.509121778021877,1.4564551826535,1.03631581107636,0.32043889566689,1,-4.59399623673649
"ABCC2",-0.321039583348198,4.15042794556646,-0.350515879428667,0.732013023698639,1,-4.61837037483062
"ABCC3",-0.271582805962121,5.86847640825099,-0.590118523081494,0.566031961510625,1,-4.61226437604672
"ABCC4",-0.843751848486426,5.77320764060353,-2.00735174794651,0.0677175916834183,1,-4.5363175642957
"ABCC5",-0.240746984747503,8.29312036903424,-0.717084312211711,0.487013131835275,1,-4.60790467042448
"ABCC6",-0.149846744407859,2.50516018826936,-0.149832546580295,0.883379610555819,1,-4.62116237740675
"ABCC8",-0.384950909676064,0.319805371115499,-0.553257767482689,0.590221604147888,1,-4.61338966525837
"ABCC9",0.944556247473141,1.12637590193835,1.37090864933131,0.195439204100731,1,-4.57590268207638
"ABCD1",-1.45618059984481,4.16876719863765,-3.10315360435378,0.00911249128208442,1,-4.4695649764844
"ABCD2",-0.0608877185756651,0.167116125654029,-0.223457120529934,0.826929551193635,1,-4.62039369404724
"ABCD3",-0.0269533658897533,6.32865388497747,-0.0811189286244683,0.936681415875953,1,-4.62160779084622
"ABCD4",1.38357562901941,3.00035536954292,2.88606161018761,0.0136459728697642,1,-4.48184123980615
"ABCE1",-0.238193887695826,7.18271730004398,-1.06708748301078,0.306880560366191,1,-4.59246239751103
"ABCF1",-0.0677337137184044,8.50895190688277,-0.241980414999171,0.812871432059475,1,-4.62015326171915
"ABCF2",0.158301580191339,4.95181643958276,0.402074312013422,0.694681771076952,1,-4.61730345718966
"ABCF3",-0.315558808157076,5.15763581046203,-0.518463770053875,0.613538498106838,1,-4.61439156043825
"ABCG1",-0.266824193422094,5.05573634407297,-0.761985133406095,0.460748507665425,1,-4.60619152333346
"ABCG2",0.707439321602734,0.544298888832269,1.25950725138231,0.231737161409538,1,-4.58224339217039
"ABCG4",0.251489921344782,3.28676367804759,0.30675092450467,0.764277951527855,1,-4.61916560438112
"ABCG5",0.546285674621033,2.64158579094271,0.694355772972618,0.50064996498199,1,-4.60873855574413
"ABCG8",-0.505913864286112,0.76292189627183,-0.776341223368995,0.452542600613213,1,-4.60562572825539
"ABHD1",0.0501177167602307,0.305741781634368,0.108038891811533,0.915745986821042,1,-4.62146474442636
"ABHD10",-0.253280854650256,6.62195542264558,-0.937892251166578,0.366749757513219,1,-4.59869105715788
"ABHD11",-0.292429257820352,5.10422176208513,-0.455220949205421,0.657057360579671,1,-4.61605908224522
"ABHD12",0.157255819947951,6.33760742475607,0.562784639591892,0.583918308923892,1,-4.61310507444023
"ABHD12B",0.449387690543407,7.50159196700143,0.817716155080531,0.429419060366149,1,-4.60394743068109
"ABHD13",0.288884670080826,1.38620501584277,0.332283678907281,0.745393659394793,1,-4.61871408120722
"ABHD14A",0.874877370651673,7.3502417053348,3.24778927277362,0.0069646817176224,1,-4.46173229182576
"ABHD14B",0.387940311737393,6.64918584787404,1.52757170875001,0.152476614456812,1,-4.56657696718365
"ABHD2",0.0260855096162777,3.70393600006041,0.0324066990821629,0.974679223442448,1,-4.62176327405423
"ABHD3",-0.629003416535986,6.15942102819191,-1.07799882423211,0.302177185510489,1,-4.59191135215673
"ABHD4",-0.673510153447131,4.83727173043096,-1.25834783346787,0.232141728790869,1,-4.58230790125196
"ABHD5",-0.109097105913342,5.20494694660364,-0.160644969984755,0.875039285601696,1,-4.62106830164687
"ABHD6",0.0727057284329342,6.71938026596464,0.170084444309255,0.867770759594789,1,-4.62098086010547
"ABHD7",-0.0968732034771358,1.31341382663467,-0.0883060136270314,0.931086558785751,1,-4.62157357364393
"ABHD8",0.168881039710319,7.30933956697847,0.600538609546282,0.559292257662306,1,-4.6119345379109
"ABHD9",0.989134898457997,5.68519813735837,2.01508365961317,0.0668033220322822,1,-4.53582105718229
"ABI1",0.0836762408308043,6.05621320967488,0.331940796771133,0.745646150176675,1,-4.61872037564024
"ABI2",-0.588896326310523,4.71945176913125,-1.58930213582447,0.137915239481786,1,-4.56279716509114
"ABI3",0.604019607455214,4.13896999899944,0.717806501234104,0.486583565198624,1,-4.60787780320196
"ABI3BP",0.771419479721265,4.09498185746125,0.617382036701642,0.548491605217347,1,-4.61139057682133
"ABL1",-0.275958910254552,6.13574985248575,-0.884370677509769,0.393829320276001,1,-4.60109992100616
